wavelength,fractal_dimension,fraction_of_coating,equi_mobility_dia,mie_epsilon,length_scale_factor,m_real_bc,m_im_bc,m_real_organics,m_im_organics,volume_total,volume_bc,volume_organics,density_bc,density_organics,mass_bc,mass_organics,mass_total,mr_total/bc,mr_nonBC/BC,q_ext,q_abs,q_sca,g,c_geo,c_ext,c_abs,c_sca,ssa,mac_total,mac_bc,mac_organics
660,1.5,0,364.2911265,2,0.095199777,2,0.63,1.47,0,2968805.058,2968805.058,0,1.5,1.1,4.45E-15,0,4.45E-15,1,0,0.88274,0.79402,0.08872,0.45654,24973.45256,0.022045066,0.019829421,0.002215645,0.100505245,4.452839984,4.452839984,0
660,1.5,0,381.5908468,2,0.095199777,2,0.63,1.47,0,3251548.396,3251548.396,0,1.5,1.1,4.88E-15,0,4.88E-15,1,0,0.91383,0.81841,0.095421,0.4578,26534.90975,0.024248397,0.021716435,0.002531988,0.104418765,4.452532115,4.452532115,0
660,1.5,0,398.1678195,2,0.095199777,2,0.63,1.47,0,3534291.735,3534291.735,0,1.5,1.1,5.3E-15,0,5.3E-15,1,0,0.9429,0.84143,0.10147,0.46581,28051.69209,0.02644994,0.023603535,0.002846405,0.107614805,4.452289557,4.452289557,0
660,1.5,0,421.8590287,2,0.095199777,2,0.63,1.47,0,3958406.744,3958406.744,0,1.5,1.1,5.94E-15,0,5.94E-15,1,0,0.98285,0.87414,0.10871,0.48438,30253.18328,0.029734341,0.026445518,0.003288824,0.110606908,4.453899316,4.453899316,0
660,1.5,0,444.3357086,2,0.095199777,2,0.63,1.47,0,4382521.752,4382521.752,0,1.5,1.1,6.57E-15,0,6.57E-15,1,0,1.0201,0.90474,0.11531,0.49797,32377.267,0.03302805,0.029293009,0.003733423,0.113037937,4.456035468,4.456035468,0
660,1.5,0,465.7694505,2,0.095199777,2,0.63,1.47,0,4806636.76,4806636.76,0,1.5,1.1,7.21E-15,0,7.21E-15,1,0,1.0552,0.933,0.12225,0.50395,34433.80393,0.03633455,0.032126739,0.004209533,0.115854814,4.455886124,4.455886124,0
660,1.5,0,486.2948068,2,0.095199777,2,0.63,1.47,0,5230751.768,5230751.768,0,1.5,1.1,7.85E-15,0,7.85E-15,1,0,1.0895,0.95904,0.13047,0.50721,36430.6461,0.039691189,0.034938447,0.004753106,0.11975218,4.452954168,4.452954168,0
660,1.5,0,506.0196105,2,0.095199777,2,0.63,1.47,0,5654866.776,5654866.776,0,1.5,1.1,8.48E-15,0,8.48E-15,1,0,1.1223,0.98445,0.13784,0.51098,38374.17499,0.043067337,0.037777457,0.005289496,0.122819211,4.453680704,4.453680704,0
660,1.5,0,537.3473785,2,0.095199777,2,0.63,1.47,0,6361725.124,6361725.124,0,1.5,1.1,9.54E-15,0,9.54E-15,1,0,1.1735,1.0234,0.1501,0.51414,41508.85305,0.048710639,0.04248016,0.006230479,0.127907968,4.451639493,4.451639493,0
660,1.5,0,567.0109613,2,0.095199777,2,0.63,1.47,0,7068583.471,7068583.471,0,1.5,1.1,1.06E-14,0,1.06E-14,1,0,1.2192,1.0594,0.15976,0.52676,44529.28554,0.054290105,0.047174325,0.007113999,0.131036745,4.449201201,4.449201201,0
